"* Source","* Valid","*Source Type","Source  ID","Source Name","Report Grouping","Report Order #","Pressure Zone","PS Code","* Description"," Comments","Street Name","Street Suffix","Street Direction","Street Number","Street Abbreviation","Suite Number","City","State","Zip code prefix","Zip code suffix"," Location"," Latitude"," Longitude","Lat/Long Coordinate Units"," Depth","Depth Units","Depth  Basis","Date Established","Date Discontinued"," GIS ID"," DMR ID","CIWQS Monitoring Location ID","Required Control Type"
"230 SYS","Y","DIST_SYS","","SYS",".",,"284","","Camto Mar De Plata & Camto Foraleza","284 Rancho Santa Fe Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"231 SYS","Y","DIST_SYS","","SYS",".",,"793(229)","","Fairgrove and Salmon River Rd","","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"250 SYS","Y","DIST_SYS","","SYS",".",,"500","","7474 Charmant Dr; Sample Stanchion","500 La Jolla Gardens Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"92 SYS","Y","PLANTS","","PLANTS","WriteOn",,"490","3710020-009","Otay Treatment Plant Influent-1500 Wueste Rd.","490 S San Diego Resv Zone","","","","","","","","","","","Lower Otay FP","","","",,"","",,,"","","",""
"43 SYS","Y","DIST_SYS","","SYS",".",,"260(50)","","300 Blk of Rosecrans Sample Stanchion","260 Point Loma Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"258 SYS","Y","DIST_SYS","","SYS",".",,"355","","8455 Westway Dr.","355 Prestwick Estates Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"267 SYS","Y","DIST_SYS","","SYS",".",,"","","Sping Hurst","","","","","","","","","","","","","","","",,"","",,,"","","",""
"148 SYS","Y","DIST_SYS","","SYS",".",,"536(181)","","Upas & Richmond","","","","","","","","","","","","","","","",,"","",,,"","","",""
"256 SYS","Y","DIST_SYS","","SYS",".",,"590","","1808 Sea Star Lane (hosebib on backflow prev cage)","590 Paradise Hills #2","","","","","","","","","","","Hose Bib","","","",,"","",,,"","","",""
"87 SYS","Y","PLANTS","","PLANTS","WriteOn",,"536","3710020-001","Alvarado WTP combined Effluent from 3 clearwells","536 Alvarado Zone","","","","","","","","","","","Alvarado FP","","","",,"","",,,"","","",""
"251 SYS","Y","DIST_SYS","","SYS",".",,"495 ","","5840 Ravenswood Rd.","495 La Jolla Mesa Vista Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"162 SYS","Y","DIST_SYS","","SYS",".",,"","","700 Blk Imperial Beach Blvd","","","","","","","","","","","","","","","",,"","",,,"","","",""
"90 SYS","Y","PLANTS","","PLANTS","Alvarado Plant",,"536","","Earl Thomas Res Eff","536 Alvarado Zone  Earl Thomas Eff spl point inside plant","","","","","","","","","","","Lower Otay FP","","","",,"","",,,"","","",""
"119 SYS","Y","REC_STA","","SYS",".",,"490","","Lower Otay Recreation","490 S San Diego Resv Zone","","","","","","","","","","","Lower Otay Res","","","",,"","",,,"","","",""
"248 SYS","Y","DIST_SYS","","SYS",".",,"295","","2360 Beryl St. Sample Stanchion","295 Floral Terrace Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"205 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"550","3710020-911","close to 1856 Manzana Way; Sample Stanchion","550 Hillsbough Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"85 SYS","Y","PLANTS","","PLANTS","WriteOn",,"536","3710020-002","Alvarado WTP Influent - 5540 Kiowa Dr, La Mesa","536 Alvarado Zone","","","","","","","","","","","Alvarado FP","","","",,"","",,,"","","",""
"171 SYS","Y","DIST_SYS","","SYS",".",,"610(164)","","6541 Broadway","610 Paradise Mesa Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"7 SYS","Y","PLANTS","","PLANTS","Miramar Plant",,"712","","Miramar Settled-10710 Scripps Lk Dr","712 Miramar Zone","","","","","","","","","","","Miramar FP","","","",,"","",,,"","","",""
"132 SYS","Y","DIST_SYS","","SYS",".",,"610(164)","","Meadowbrook & Paradise Valley","","","","","","","","","","","","","","","",,"","",,,"","","",""
"116 SYS","Y","DIST_SYS","","IMP","Alvarado Central",,"536","","Univ Hts Resv South Effluent","2720 Howard Ave @ Idaho","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"229 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"330","3710020-913","Carmel Park Dr/Del Mar Glen @ Public School","330 Carmel Valley Zone","","","","","","","","","","","Stanchion_Sch","","","",,"","",,,"","","",""
"142 SYS","Y","DIST_SYS","","SYS",".",,"","","10th Ave Terminal-Meter","Michell White 619.895.1004  - contact (no longer sampled)","","","","","","","","","","","Hose Bib","","","",,"","",,01/14/2009,"","","",""
"221 SYS","Y","DIST_SYS","","SYS",".",,"470(50)","","54551/2 Oberlin Dr","470 Lusk Park Zone","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"201 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"346","3710020-902","1880 Smythe Ave. Sample Stanchion","346 Carmel View Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"140 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"390(418)","3710020-908","45th St/Imperial Ave; Sample Stanchion","390 University Heights Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"268 SYS","Y","DIST_SYS","","SYS",".",,"750","","9604 Babauta Rd ","750 Mercy High Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"144 SYS","Y","DIST_SYS","","SYS",".",,"536(181)","","Brookline & Date","","","","","","","","","","","","","","","",,"","",,,"","","",""
"135 SYS","Y","DIST_SYS","","SYS",".",,"231","","Across from 1782 Newton Avenue","231 Principal Downtown Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"207 SYS","Y","DIST_SYS","","SYS",".",,"468","","5485 Adobe Falls Rd; Sample Stanchion","468 Clooege Heights Zone;  Meter #29230615","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"98 SYS","Y","DIST_SYS","","IMP","Otay Plant",,"","","South SD Resv Eff","","","","","","","","","","","","Clearwell","","","",,"","",,,"","","",""
"208 SYS","Y","DIST_SYS","","SYS",".",,"656","","6002 Camino Rico","656 Del Cerro Zone","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"209 SYS","Y","DIST_SYS","","SYS",".",,"355","","4605 Vandever Ave; (W. End or Public Park)","355 Allied Gardens Zone","","","","","","","","","","","Stanchion_Park","","","",,"","",,,"","","",""
"210 SYS","Y","DIST_SYS","","SYS",".",,"692","","6619 Cibola Rd (In front of Park)","692 San Carlos Reduced Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"212 SYS","Y","DIST_SYS","","SYS",".",,"849","","Rondel Ct & Tuxedo Rd @ Public Park","849 San Carlos Zone","","","","","","","","","","","Stanchion_Park","","","",,"","",,,"","","",""
"213 SYS","Y","DIST_SYS","","SYS",".",,"500","","4455 Murphy Canyon Rd; Sample Stanchion","500 Murphy Canyon Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"253 SYS","Y","DIST_SYS","","SYS",".",,"378","","13220 Caminito Mar Villa","378 Mar Villa Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"108 SYS","Y","DIST_SYS","","IMP","Alvarado South",,"645","","Redwood Village SP","6056 Hughes St","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"143 SYS","Y","DIST_SYS","","SYS",".",,"","","10th Ave Terminal-Pierhead","Michell White 619.895.1004  - contact (no longer sampled)","","","","","","","","","","","Hose Bib","","","",,"","",,01/14/2009,"","","",""
"243 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"925","3710020-907","8709 Lake Athabaska Way","925 Country Casual Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"2004 RWSYS","Y","NCW_DIST","","NCW","MICROBIOLOGY",,"610","","5601 Carrol Canyon Road","","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"114 SYS","Y","DIST_SYS","","IMP","Alvarado Central",,"536","","Univ Hts Resv North Effluent","2720 Howard Ave @ Idaho","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"5 SYS","Y","PLANTS","","PLANTS","WriteOn",,"712","3710020-006","Miramar Clearwell #1 Eff-10710 Scripps Lk Dr","712 Miramar Zone","","","","","","","","","","","Miramar FP","","","",,"","",,,"","","",""
"6 SYS","Y","PLANTS","","PLANTS","Miramar Plant",,"712","","Miramar Clearwell #2 EFF-10710 Scripps Lk Dr","712 Miramar Zone","","","","","","","","","","","Miramar FP","","","",,"","",,,"","","",""
"22 SYS","Y","DIST_SYS","","IMP","Miramar Scripps",,"1020","","Scripps Ranch Reservoir","12225 Spring Canyon Rd","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"150 SYS","Y","DIST_SYS","","SYS",".",,"645","","Acorn St & 62nd St @ Fire Station","645 Redwood Village Zone","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"11 SYS","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Country Club Reservoir","7269 Encelia Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"136 SYS","Y","DIST_SYS","","SYS",".",,"231","","333 W Harbor Dr- Hotel","231 Principal Downtown Zone - connnection to Cal American","","","","","","","","","","","","","","",,"","",,,"","","",""
"13 SYS","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"1130","","Carmel Mountain Reservoir","13603 Shoal Summit Rd @ Calvados Pl ","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"14 SYS","Y","DIST_SYS","","IMP","Miramar La Jolla",,"725","","Soledad Reservoir","La Jolla Scenic Dr & Via Casa Alta","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"15 SYS","Y","DIST_SYS","","IMP","Alvarado Pt. Loma",,"260","","Pt Loma Reservoir","1061 Catalina Blvd1-858-850-7900","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"16 SYS","Y","DIST_SYS","","IMP","Alvarado Pt. Loma",,"462","","Catalina Standpipe","201 Catalina Blvd","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"95 SYS","Y","PLANTS","","PLANTS","WriteOn",,"490","3710020-010","Otay Treatment Plant Effluent-1500 Wueste Rd.","490 S San Diego Resv Zone","","","","","","","","","","","Lower Otay FP","","","",,"","",,,"","","",""
"65 SYS","Y","DIST_SYS","","SYS",".",,"610(94)","","El Amigo Rd & Durango Dr","610 North City Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"1006 RWSYS","Y","NCW_DIST","","NCW","MICROBIOLOGY",,"890","","Poway Storage Tank, Gregg St. & Flint Pl.","890 Scripps Poway Reclaimed","","","","","","","","","","","Reclaimed Dist","","","",,"","",,,"","","",""
"173 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"390(22)","3710020-903","Rancho Hills & Reo Dr @ Library/Sample Stanchion","390 University Heights Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"179 SYS","Y","DIST_SYS","","SYS",".",,"470(81)","","Del Mar Heights/Hartfield Ave; Sample Stanchion","470 Lusk Park Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"176 SYS","Y","DIST_SYS","","SYS",".",,"610(33)","","9896 Olson Dr.","610 North City Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"48 SYS","Y","DIST_SYS","","SYS",".",,"270","","Coast Bl. South/Eads Ave; Sample Stanchion","270 La Jolla Towne Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"177 SYS","Y","DIST_SYS","","SYS",".",,"712","","12350 Black Mountain Road(next to Rec Building)","610 North City Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"66 SYS","Y","DIST_SYS","","SYS",".",,"196","","Via Cortina/Via Aprilia Sample Stanchion","196 Lower Del Mar Terr Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"174 SYS","Y","DIST_SYS","","SYS",".",,"390(418)","","3250 Camino Del Rio North; Sample Stanchion","390 University Heights Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"52 SYS","Y","DIST_SYS","","SYS",".",,"559","","Mt. Abernathy Ave & Chateau Dr. @ Library","559 Northwest Mesa Zone","","","","","","","","","","","Stanchion_Lib","","","",,"","",,,"","","",""
"128 SYS","Y","DIST_SYS","","SYS",".",,"490(65)","","Firethorn St/Palm Ave; Sample Stanchion","490 S San Diego Resv Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"64 SYS","Y","DIST_SYS","","SYS",".",,"625","","11168 Avenida Del Gato & Zapata","","","","","","","","","","","","","","","",,"","",,,"","","",""
"130 SYS","Y","DIST_SYS","","SYS",".",,"","","Willow & Front","","","","","","","","","","","","","","","",,"","",,,"","","",""
"131 SYS","Y","DIST_SYS","","SYS","Stage2 DBP",,"270","3710020-900","E Park Ave/San Ysidro Blvd;Sample Stanchion","270 Otay Regulated Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"57 SYS","Y","DIST_SYS","","SYS",".",,"559","","Idlewild Way & Hidalgo Ave. @ Public School","559 Northwest Mesa Zone","","","","","","","","","","","Stanchion_Sch","","","",,"","",,,"","","",""
"255 SYS","Y","DIST_SYS","","SYS",".",,"340","","4949 Pacifica Dr; Sample Box","340 Pacifica Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"59 SYS","Y","DIST_SYS","","SYS",".",,"600","","La Cuenta Dr & Tierrasanta Blvd @ Fire Station","","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"60 SYS","Y","DIST_SYS","","SYS",".",,"536(181)","","9th Ave & University Ave @ Fire Station","536 Alvarado Zone","","","","","","","","","","","Stanchion_FS","","","",,"","",,,"","","",""
"61 SYS","Y","DIST_SYS","","SYS",".",,"","","Hawk & Washington","","","","","","","","","","","","","","","",,"","",,,"","","",""
"200 SYS","Y","DIST_SYS","","SYS",".",,"490","","Otay Mesa Rd./Beyer Blvd.","490 S San Diego Resv Zone","","","","","","","","","","","Stanchion_Sch","","","",,"","",,,"","","",""
"238 SYS","Y","DIST_SYS","","IMP","Miramar Scripps",,"1150","","Miramar Ranch North Reservoir","11496 Weatherhill Way","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"182 SYS","Y","DIST_SYS","","SYS",".",,"752","","6475 Antigua Blvd.","752 Tierrasanta Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"242 SYS","Y","DIST_SYS","","SYS",".",,"910","","7260 Barker Way","910 Climax Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"184 SYS","Y","DIST_SYS","","SYS",".",,"815","","12170 Springhurst Dr.","815 South Creek Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"244 SYS","Y","DIST_SYS","","SYS",".",,"435","","13051 Portofino Dr. Sample Stanchion","435 Del Mar Hills Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"245 SYS","Y","DIST_SYS","","SYS",".",,"328","","12935 Via Latina. Sample Stanchion","328 Del Mar Terrace Zone","","","","","","","","","","","Sample Box","","","",,"","",,,"","","",""
"246 SYS","Y","DIST_SYS","","SYS",".",,"940","","7928 Wing Span Dr","940 Eagle Ridge Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"247 SYS","Y","DIST_SYS","","SYS",".",,"470","","8985 Rehco Rd; Sample Stanchion","470 El Camino Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"237 SYS","Y","DIST_SYS","","SYS",".",,"800","","17910 Avenida Cordillera","800 Bernardo Trails Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"219 SYS","Y","DIST_SYS","","SYS",".",,"241","","Across from 8415 El Paseo Grande","241 La Jolla Shores Zone","","","","","","","","","","","Stanchion_Park","","","",,"","",,,"","","",""
"232 SYS","Y","DIST_SYS","","SYS",".",,"","","Morning Creek Rd & Old Sycamore Dr","793 Rancho Bernardo (South) Zone","","","","","","","","","","","Stanchion","","","",,"","",,08/09/2007,"","","",""
"214 SYS","Y","DIST_SYS","","SYS",".",,"900","","4711 Seda Dr (Between Via Dominique & Renovo Way)","900 Tierrasanta Norte Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"216 SYS","Y","DIST_SYS","","SYS",".",,"370","","5790 Chelsea Ave","370 LaJolla Towne Zone - Hermosa","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"270 SYS","Y","DIST_SYS","","SYS",".",,"470","","Rancho Santa Fe Farms & Caminito Mendiola","Rancho Del Sol Zone","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"110 SYS","Y","DIST_SYS","","IMP","Alvarado Central",,"849","","College Ranch Standpipe","Lake Arrowhead Dr @ Lake Ashmere Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"129 SYS","Y","DIST_SYS","","SYS",".",,"","","2306 Hollister","","","","","","","","","","","","Stanchion","","","",,"","",,,"","","",""
"20 SYS","Y","DIST_SYS","","IMP","Miramar Rnch Brnardo",,"920(71)","","Pomerado Park Reservoir","Bernardo heights Pkwy & Avenda Venusto","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"155 SYS","Y","DIST_SYS","","SYS",".",,"536","","Adams & Marlborough","536 Normal Heights Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"274 SYS","Y","DIST_SYS","","SYS",".",,"425","","Hillpointe Row & Carriage Dale Row","425 Ridgegate Reduced Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"275 SYS","Y","DIST_SYS","","SYS",".",,"430","","Across from 2531 Old Quarry Rd ","430 Mission City Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"276 SYS","Y","DIST_SYS","","SYS",".",,"470(24)","","Moorland Heights/Wild Blossom Terrace","470 Lusk Park (E of Torrey Pines) Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"277 SYS","Y","DIST_SYS","","SYS",".",,"470","","7930 Park Village Rd","470 Penasquitos Park VW Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"278 SYS","Y","DIST_SYS","","SYS",".",,"470","","Torrey View Ct across street from Pyxis","470 Arroyo Sorrento Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"279 SYS","Y","DIST_SYS","","SYS",".",,"495","","10885 Clovehurst Way","495 Carmel Country Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"280 SYS","Y","DIST_SYS","","SYS",".",,"500","","6542 Reflection Dr.","500 La Mirage Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"281 SYS","Y","DIST_SYS","","SYS",".",,"685","","6831 Monte Verde Dr","","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"282 SYS","Y","DIST_SYS","","SYS",".",,"680(41)","","18402 W. Bernardo Dr. Stanchion at Community Park","680 Bernardo Oaks (W of I-5) Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"283 SYS","Y","DIST_SYS","","SYS",".",,"1150","","Scripps Ranch Wy  & Spencerport (SW corner)","1150 Miramar Boosted Zone","","","","","","","","","","","","","","",,"","",10/30/2000,,"","","",""
"335 SYS_CRC_PMP","Y","DIST_SYS","","IMP","Miramar Scripps",,"1135","","Stonebridge Reservoir","","","","","","","","","","","","","","","",,"","",07/29/2014,,"","","",""
"M_WASH_85SYS","Y","PLANTS","","X","",,"","","Method Wash Alvarado Influent","","","","","","","","","","","","","","","",,"","",,,"","","",""
"M_WASH_1SYS","Y","PLANTS","","X","",,"","","Method Wash Miramar Influent","","","","","","","","","","","","","","","",,"","",,,"","","",""
"M_WASH_85SYS_2","Y","PLANTS","","X","",,"","","Method Wash #2 Alvarado Influent ","","","","","","","","","","","","","","","",,"","",,,"","","",""
"322 SYS","Y","DIST_SYS","","SYS",".",,"225","","2305 1/2 Historic Decatur Rd.","225 Rosecrans   Zone","","","","","","","","","","","","","","",,"","",03/16/2006,,"","","",""
"332 SYS","Y","DIST_SYS","","SYS",".",,"231","","1277 W. G St","231 Principal Downtown Zone","","","","","","","","","","","","","","",,"","",07/02/2006,,"","","",""
"152A SYS","Y","DIST_SYS","","SYS",".",,"849","","8571 Highwood Drive","","","","","","","","","","","","","","","",,"","",,,"","","",""
"249A SYS","Y","DIST_SYS","","SYS","",,"320","","6429 Glidden St.; Sample Stanchion","320 Glidden Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
"112 SYS","Y","DIST_SYS","","IMP","Alvarado Central",,"656","","Del Cerro Reservoir","Rockhurst Ct & Rockhurst Dr","","","","","","","","","","","Impound","","","",,"","",,,"","","",""
"276A SYS","Y","DIST_SYS","","SYS","",,"470(24)","","5285 Setting Sun Way","470 Lusk Park (E of Torrey Pines) Zone","","","","","","","","","","","","","","",,"","",02/20/2009,,"","","",""
"315A SYS","Y","DIST_SYS","","SYS","",,"725","","Across from 5494 Soledad Road","725 Soledad Muirlands Zone","","","","","","","","","","","","","","",,"","",,,"","","",""
